TN,FP,FN,TP,Round,SamplerAndClassifer,Precision,Recall,F05,F1,F2,Precision0,Recall0,F05_anti,F1_anti,F2_anti,AUC,AUC0,Accuracy
69,111,167,644,992,RandomOverSampler_RandomForestClassifier,0.8529801324503311,0.7940813810110974,0.8405116157661184,0.822477650063857,0.8052013003250812,0.2923728813559322,0.38333333333333336,0.3069395017793594,0.3317307692307692,0.36087866108786615,0.5887073571722153,0.41129264282778466,0.7194752774974773
25,155,65,746,992,RandomOverSampler_DecisionTreeClassifier,0.827968923418424,0.9198520345252774,0.8448471121177803,0.8714953271028038,0.8998793727382388,0.2777777777777778,0.1388888888888889,0.23148148148148145,0.1851851851851852,0.15432098765432098,0.5293704617070831,0.47062953829291687,0.7780020181634713
40,140,90,721,992,RandomOverSampler_GradientBoostingClassifier,0.8373983739837398,0.8890258939580764,0.847238542890717,0.8624401913875598,0.8781973203410475,0.3076923076923077,0.2222222222222222,0.28571428571428575,0.2580645161290323,0.2352941176470588,0.5556240580901493,0.4443759419098507,0.7679112008072654
4,176,9,802,992,RandomOverSampler_GaussianNB,0.820040899795501,0.9889025893958077,0.8490366292610629,0.8965902738960314,0.9497868308858362,0.3076923076923077,0.022222222222222223,0.08620689655172414,0.04145077720207255,0.027285129604365625,0.5055624058090149,0.49443759419098504,0.8133198789101918
47,133,130,681,992,SMOTE_RandomForestClassifier,0.8366093366093366,0.8397040690505548,0.8372264568477994,0.8381538461538461,0.8390832922621982,0.2655367231638418,0.2611111111111111,0.2646396396396396,0.2633053221288515,0.26198439241917504,0.550407590080833,0.44959240991916705,0.7346115035317861
48,132,128,683,992,SMOTE_DecisionTreeClassifier,0.838036809815951,0.842170160295931,0.8388602309014985,0.8400984009840098,0.8413402315841341,0.2727272727272727,0.26666666666666666,0.27149321266968324,0.26966292134831465,0.26785714285714285,0.5544184134812988,0.44558158651870117,0.7376387487386479
60,120,162,649,992,SMOTE_GradientBoostingClassifier,0.8439531859557867,0.8002466091245376,0.8348340622588115,0.8215189873417722,0.8086219785696486,0.2702702702702703,0.3333333333333333,0.28089887640449435,0.29850746268656714,0.3184713375796178,0.5667899712289355,0.4332100287710645,0.715438950554995
4,176,7,804,992,SMOTE_GaussianNB,0.8204081632653061,0.9913686806411838,0.8497146480659479,0.897822445561139,0.9517045454545455,0.36363636363636365,0.022222222222222223,0.08928571428571429,0.041884816753926704,0.02735978112175103,0.506795451431703,0.493204548568297,0.8153380423814329
67,113,171,640,992,BorderlineSMOTE_RandomForestClassifier,0.849933598937583,0.7891491985203453,0.8370389746272561,0.8184143222506394,0.8006004503377532,0.2815126050420168,0.37222222222222223,0.29593639575971736,0.32057416267942584,0.34968684759916496,0.5806857103712837,0.41931428962871625,0.7134207870837538
67,113,194,617,992,BorderlineSMOTE_DecisionTreeClassifier,0.8452054794520548,0.7607891491985204,0.8268560707585098,0.800778715120052,0.7762959235027679,0.2567049808429119,0.37222222222222223,0.2736928104575163,0.3038548752834468,0.3414882772680938,0.5665056857103713,0.4334943142896287,0.6902119071644803
67,113,147,664,992,BorderlineSMOTE_GradientBoostingClassifier,0.8545688545688546,0.8187422934648582,0.8471548864506251,0.8362720403022669,0.8256652573986569,0.3130841121495327,0.37222222222222223,0.3233590733590733,0.34010152284263956,0.35867237687366166,0.5954822578435401,0.40451774215645986,0.7376387487386479
3,177,2,809,992,BorderlineSMOTE_GaussianNB,0.8204868154158215,0.9975339087546239,0.8506834910620399,0.9003895381190874,0.9562647754137115,0.6,0.016666666666666666,0.07500000000000001,0.032432432432432434,0.020689655172413796,0.5071002877106453,0.4928997122893547,0.8193743693239153
30,150,71,740,992,SVMSMOTE_RandomForestClassifier,0.8314606741573034,0.9124537607891492,0.8464882177991306,0.8700764256319812,0.8950169327527818,0.297029702970297,0.16666666666666666,0.2568493150684932,0.21352313167259784,0.18270401948842874,0.5395602137279079,0.4604397862720921,0.7769929364278506
60,120,175,636,992,SVMSMOTE_DecisionTreeClassifier,0.8412698412698413,0.7842170160295932,0.8292046936114733,0.8117421825143586,0.795,0.2553191489361702,0.3333333333333333,0.26785714285714285,0.2891566265060241,0.31413612565445026,0.5587751746814633,0.4412248253185367,0.7023208879919274
26,154,55,756,992,SVMSMOTE_GradientBoostingClassifier,0.8307692307692308,0.9321824907521579,0.849247360143788,0.8785589773387565,0.9099662975445355,0.32098765432098764,0.14444444444444443,0.25793650793650796,0.19923371647509577,0.16229712858926343,0.5383134675983012,0.4616865324016988,0.7891019172552977
4,176,11,800,992,SVMSMOTE_GaussianNB,0.819672131147541,0.9864364981504316,0.8483563096500532,0.8953553441522105,0.9478672985781993,0.26666666666666666,0.022222222222222223,0.08333333333333333,0.04102564102564103,0.0272108843537415,0.5043293601863269,0.4956706398136731,0.8113017154389506
61,119,169,642,992,ADASYN_RandomForestClassifier,0.8436268068331143,0.7916152897657214,0.8326848249027238,0.816793893129771,0.8014981273408239,0.26521739130434785,0.3388888888888889,0.2772727272727273,0.29756097560975614,0.32105263157894737,0.5652520893273052,0.43474791067269486,0.7093844601412714
64,116,153,658,992,ADASYN_DecisionTreeClassifier,0.8501291989664083,0.8113440197287299,0.8420783209623752,0.8302839116719243,0.8188153310104529,0.29493087557603687,0.35555555555555557,0.30534351145038163,0.3224181360201511,0.3415154749199573,0.5834497876421427,0.4165502123578573,0.7285570131180625
